Einzelplan,Bezeichnung,0 Einnahmen aus Steuern und steuerähnlichen Abgaben,"1 Verwaltungseinnahmen, Einnahmen aus Schuldendienst und dgl.",2 Einnahmen aus Zuweisungen und Zuschüssen mit Ausnahme für Investitionen,"3 Einnahmen aus Schuldenaufnahmen, aus Zuweisungen und Zuschüssen für Investitionen, besondere Finanzierungseinnahmen",Summe Einnahmen,4 Personalausgaben,"5 Sächliche Verwaltungsausgaben usw., Ausgaben für den Schuldendienst",6 Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen,7 Baumaßnahmen,8 Sonstige Ausgaben für Investitionen und Investitionsförderungsmaßnahmen,9 Besondere Finanzierungsausgaben,Summe Ausgaben,"""+ Überschuss - Zuschuss""",Verplfichtungsermächtigungen,,Einzelplan,Bezeichnung,0 Einnahmen aus Steuern und steuerähnlichen Abgaben,"1 Verwaltungseinnahmen, Einnahmen aus Schuldendienst und dgl.",2 Einnahmen aus Zuweisungen und Zuschüssen mit Ausnahme für Investitionen,"3 Einnahmen aus Schuldenaufnahmen, aus Zuweisungen und Zuschüssen für Investitionen, besondere Finanzierungseinnahmen",Summe Einnahmen,4 Personalausgaben,"5 Sächliche Verwaltungsausgaben usw., Ausgaben für den Schuldendienst",6 Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen,7 Baumaßnahmen,8 Sonstige Ausgaben für Investitionen und Investitionsförderungsmaßnahmen,9 Besondere Finanzierungsausgaben,Summe Ausgaben,"""+ Überschuss - Zuschuss""",Verpflichtungsermächtigungen
1,Landtag,0 €,101.200 €,79.800 €,545.300 €,726.300 €,58.601.700 €,4.442.400 €,18.407.500 €,50.000 €,3.811.300 €,294.800 €,85.607.700 €,-84.881.400 €,2.488.900 €,,1,Landtag,0 €,79.600 €,65.000 €,0 €,144.600 €,54.336.900 €,12.703.700 €,15.089.500 €,0 €,12.081.000 €,193.000 €,94.404.100 €,-94.259.500 €,450.000 €
2,Staatskanzlei,0 €,689.700 €,4.860.000 €,150.000 €,5.699.700 €,107.412.400 €,61.761.000 €,81.483.200 €,110.000 €,1.015.000 €,11.573.300 €,263.354.900 €,-257.655.200 €,77.384.000 €,,2,Staatskanzlei,0 €,675.800 €,4.755.000 €,150.000 €,5.580.800 €,15.844.600 €,11.827.400 €,15.751.100 €,16.600 €,551.500 €,4.455.500 €,48.446.700 €,-42.865.900 €,17.687.400 €
3,"Staatsministerium des Innern, Bau und für kommunale Angelegenheiten",0 €,233.400.300 €,657.003.800 €,496.825.800 €,1.387.229.900 €,873.556.200 €,903.826.700 €,2.501.651.200 €,90.000 €,1.784.735.900 €,27.730.800 €,6.091.590.800 €,-4.704.360.900 €,3.642.250.800 €,,3,"Staatsministerin des Innern, Bau und für kommunale Angelegenheiten",0 €,193.903.600 €,706.255.100 €,570.235.400 €,1.470.394.100 €,616.538.100 €,976.590.800 €,2.909.502.700 €,5.500 €,9.368.798.200 €,13.346.300 €,13.884.781.600 €,-12.414.387.500 €,23.534.260.400 €
4,Staatsministerium für Bildung und sportliche Ertüchtigung,0 €,85.737.900 €,492.876.700 €,318.603.700 €,897.218.300 €,12.535.072.500 €,700.927.200 €,6.464.587.900 €,0 €,515.363.600 €,327.841.400 €,20.543.792.600 €,-19.646.574.300 €,1.681.002.100 €,,4,Staatsminister für Bildung und sportliche Ertüchtigung,0 €,95.641.000 €,430.040.600 €,201.820.700 €,727.502.300 €,12.408.129.100 €,2.467.616.600 €,10.272.088.700 €,0 €,443.926.700 €,377.967.100 €,25.969.728.200 €,-25.242.225.900 €,1.591.643.300 €
5,Staatsministerium für Rechtsstaatlichkeit und Angelegenheiten des Staates,0 €,1.118.005.100 €,76.794.700 €,3.607.500 €,1.198.407.300 €,2.160.166.100 €,1.169.042.300 €,881.771.400 €,0 €,180.379.200 €,8.019.000 €,4.399.378.000 €,-3.200.970.700 €,224.800.400 €,,5,Staatsminister für Rechtsstaatlichkeit und Angelegenheiten des Staates,0 €,1.108.636.400 €,78.215.100 €,3.000.000 €,1.189.851.500 €,2.292.408.200 €,1.208.980.900 €,887.835.900 €,0 €,106.233.300 €,12.982.400 €,4.508.440.700 €,-3.318.589.200 €,236.060.000 €
6,Staatsministerium für Kapitalakkumulation des Fiskus,0 €,391.297.600 €,76.428.500 €,0 €,467.726.100 €,1.629.161.300 €,240.287.600 €,154.149.300 €,57.000 €,43.845.800 €,15.896.500 €,2.083.397.500 €,-1.615.671.400 €,295.415.200 €,,6,Staatsminister für Kapitalakkumulation des Fiskus,0 €,2.399.530.100 €,238.058.300 €,37.900.000.000 €,40.537.588.400 €,2.080.154.800 €,1.048.359.300 €,360.773.300 €,250.060.000 €,37.604.685.300 €,821.231.800 €,42.165.264.500 €,-1.627.676.100 €,127.477.500 €
7,"Staatsministerium für Wirtschaft, Arbeitsmarkt und Beschäftigung",0 €,174.490.000 €,1.754.121.000 €,964.953.900 €,2.893.564.900 €,117.571.100 €,416.522.000 €,2.086.424.300 €,36.610.500 €,1.981.838.300 €,-748.600 €,4.638.217.600 €,-1.744.652.700 €,2.822.801.800 €,,7,"Staatsminister für Wirtschaft, Arbeitsmarkt und Beschäftigung",0 €,180.699.500 €,1.919.505.900 €,877.248.800 €,2.977.454.200 €,115.438.400 €,428.790.600 €,2.993.593.800 €,41.650.900 €,1.857.235.400 €,-601.300 €,5.436.107.800 €,-2.458.653.600 €,3.194.423.200 €
8,Staatsministerium für soziale und gesundheitliche Fürsorge,0 €,148.014.100 €,2.159.490.200 €,187.117.500 €,2.494.621.800 €,346.080.500 €,162.726.000 €,8.080.325.700 €,0 €,1.076.494.100 €,121.917.000 €,9.787.543.300 €,-7.292.921.500 €,1.291.047.500 €,,8,Staatsminister für soziale und gesundheitliche Fürsorge,0 €,161.784.600 €,2.306.915.000 €,724.000.900 €,3.192.700.500 €,370.584.500 €,163.960.000 €,9.383.276.600 €,0 €,1.471.210.900 €,212.426.800 €,11.601.458.800 €,-8.408.758.300 €,2.654.176.600 €
9,"Staatsministerium für Umwelt, Energie und Klimaschutz",91.562.000 €,199.621.700 €,66.597.500 €,48.909.700 €,406.690.900 €,378.241.300 €,311.704.200 €,514.942.200 €,38.811.500 €,417.085.000 €,60.981.500 €,1.721.765.700 €,-1.315.074.800 €,1.441.357.900 €,,9,"Staatsminister für Umwelt, Energie und Klimaschutz",94.580.000 €,203.665.400 €,68.896.000 €,56.034.400 €,423.175.800 €,398.519.200 €,299.482.300 €,485.015.300 €,44.767.400 €,1.844.543.600 €,2.601.400 €,3.074.929.200 €,-2.651.753.400 €,3.347.978.000 €
10,"Staatsministerium für Mobilität, Infrastruktur und Landesentwicklung",0 €,56.132.400 €,2.975.393.200 €,743.560.400 €,3.775.086.000 €,493.134.300 €,2.373.501.500 €,3.337.155.300 €,399.271.400 €,1.608.223.200 €,217.527.000 €,8.428.812.700 €,-4.653.726.700 €,35.869.015.000 €,,10,"Staatsminister für Mobilität, Infrastruktur und Landesentwicklung",0 €,185.663.100 €,2.976.631.700 €,949.933.600 €,4.112.228.400 €,504.591.900 €,2.393.380.000 €,5.435.212.000 €,383.735.100 €,1.670.831.400 €,8.779.200 €,10.396.529.600 €,-6.284.301.200 €,39.311.349.300 €
11,"Staatsministerium für Kultur, Wissenschaft und Tourismus",0 €,87.811.400 €,1.337.026.700 €,276.991.100 €,1.701.829.200 €,240.166.500 €,94.076.200 €,8.467.545.100 €,43.000 €,1.503.656.800 €,48.991.900 €,10.354.479.500 €,-8.652.650.300 €,6.106.400.800 €,,11,"Staatsministerin für Kultur, Wissenschaft und Tourismus",0 €,88.577.900 €,1.485.687.300 €,304.005.900 €,1.878.271.100 €,246.426.100 €,101.296.000 €,8.715.117.600 €,0 €,1.714.909.300 €,46.810.300 €,10.824.559.300 €,-8.946.288.200 €,3.630.664.700 €
12,Staatsministerium für Völkerfreundschaft und Nachbarschaftspolitik,0 €,87.400 €,178.600 €,0 €,266.000 €,18.767.700 €,8.230.600 €,4.657.000 €,0 €,134.000 €,209.500 €,31.998.800 €,-31.732.800 €,19.931.500 €,,12,Staatsminister für Völkerfreundschaft und Nachbarschaftspolitik,0 €,92.400 €,30.177.600 €,0 €,30.270.000 €,20.666.600 €,8.439.500 €,74.428.300 €,0 €,223.500 €,264.200 €,104.022.100 €,-73.752.100 €,3.883.200 €
13,"Staatsministerium für Grenzschutz, Faschismusbekämpfung und für die bewaffneten Organe",0 €,261.059.400 €,153.873.800 €,2.917.700 €,417.850.900 €,4.485.935.500 €,731.122.700 €,529.948.000 €,6.010.000 €,236.789.700 €,103.117.400 €,6.092.923.300 €,-5.675.072.400 €,419.620.400 €,,13,"Staatsministerin für Grenzschutz, Faschismusbekämpfung und für die bewaffneten Organe",0 €,264.624.600 €,154.701.900 €,2.917.700 €,422.244.200 €,4.605.585.100 €,739.563.000 €,521.890.100 €,4.956.500 €,349.957.300 €,123.917.500 €,6.345.869.500 €,-5.923.625.300 €,511.825.000 €
14,"Staatsministerium für Küste, Fischerei, Forst und Landwirtschaft",20.405.000 €,44.800.600 €,590.392.200 €,457.189.000 €,1.112.786.800 €,167.918.500 €,123.895.100 €,880.373.200 €,95.227.400 €,520.230.200 €,3.971.400 €,1.791.615.800 €,-678.829.000 €,537.373.400 €,,14,"Staatsministerin für Küste, Fischerei, Forst und Landwirtschaft",20.105.000 €,41.710.400 €,444.096.400 €,389.901.700 €,895.813.500 €,170.109.000 €,101.159.700 €,741.852.300 €,75.225.900 €,448.102.600 €,1.999.000 €,1.538.448.500 €,-642.635.000 €,475.688.400 €
15,Rechnungshof,0 €,100.900 €,350.000 €,0 €,450.900 €,61.186.300 €,5.629.700 €,3.585.700 €,0 €,290.900 €,1.391.600 €,72.084.200 €,-71.633.300 €,7.698.000 €,,15,Rechnungshof,0 €,92.400 €,361.000 €,0 €,453.400 €,74.842.000 €,25.845.700 €,3.728.400 €,0 €,730.400 €,1.416.800 €,106.563.300 €,-106.109.900 €,4.200.000 €
16,Verfassungsgericht,0 €,1.600 €,0 €,0 €,1.600 €,1.109.800 €,196.500 €,0 €,0 €,60.000 €,0 €,1.366.300 €,-1.364.700 €,0 €,,16,Verfassungsgericht,0 €,1.600 €,0 €,0 €,1.600 €,1.508.100 €,630.800 €,0 €,0 €,60.000 €,0 €,2.198.900 €,-2.197.300 €,0 €
17,Informations- und Kommunikationstechnik,0 €,5.083.000 €,32.968.200 €,8.037.400 €,46.088.600 €,31.748.400 €,637.959.300 €,295.662.000 €,0 €,163.367.400 €,-23.137.800 €,1.105.599.300 €,-1.059.510.700 €,1.715.527.900 €,,17,Informations- und Kommunikationstechnik,0 €,5.219.800 €,21.764.500 €,1.038.200 €,28.022.500 €,119.237.600 €,719.217.100 €,337.133.300 €,0 €,145.071.200 €,-23.078.800 €,1.297.580.400 €,-1.269.557.900 €,1.640.982.600 €
18,Ostdeutsche Datenschutz- und Transparenzbeauftragte,0 €,294.500 €,204.000 €,0 €,498.500 €,25.348.500 €,4.736.100 €,492.000 €,0 €,608.500 €,622.200 €,31.807.300 €,-31.308.800 €,480.000 €,,18,Ostdeutsche Datenschutz- und Transparenzbeauftragte,0 €,340.300 €,1.000 €,0 €,341.300 €,26.294.100 €,5.648.000 €,1.000.900 €,0 €,10.119.200 €,926.400 €,43.988.600 €,-43.647.300 €,0 €
19,Staatliche Hochbau- und Liegenschaftsverwaltung,0 €,9.356.000 €,10.000.000 €,28.669.400 €,48.025.400 €,554.800 €,280.253.700 €,85.512.000 €,607.055.900 €,46.452.300 €,18.680.000 €,1.038.508.700 €,-990.483.300 €,302.695.500 €,,19,Staatliche Hochbau- und Liegenschaftsverwaltung,0 €,9.483.100 €,10.000.000 €,25.402.900 €,44.886.000 €,926.300 €,311.147.800 €,76.873.600 €,586.398.500 €,48.011.100 €,-4.142.100 €,1.019.215.200 €,-974.329.200 €,17.584.000 €
20,Allgemeine Finanzverwaltung,85.477.906.000 €,617.951.800 €,7.878.071.300 €,-6.102.188.000 €,87.871.741.100 €,4.174.270.500 €,435.140.500 €,18.191.495.000 €,34.000 €,2.544.264.400 €,817.461.800 €,26.162.666.200 €,61.709.074.900 €,1.312.799.100 €,,20,Allgemeine Finanzverwaltung,88.761.241.900 €,454.613.400 €,8.096.455.800 €,22.559.708.400 €,119.872.019.500 €,4.915.766.700 €,1.673.865.300 €,37.635.546.400 €,8.500 €,3.611.066.900 €,-8.489.847.100 €,39.346.406.700 €,80.525.612.800 €,2.050.048.100 €
Summe 2025,,85.589.873.000 €,3.434.036.600 €,18.266.710.200 €,-2.564.109.600 €,104.726.510.200 €,27.906.003.900 €,8.665.981.300 €,52.580.168.000 €,1.183.370.700 €,12.628.645.600 €,1.762.340.700 €,104.726.510.200 €,0 €,57.770.090.200 €,,Summe 2026,,88.875.926.900 €,5.395.035.000 €,18.972.583.200 €,64.565.398.600 €,177.808.943.700 €,29.037.907.300 €,12.698.504.500 €,80.865.709.800 €,1.386.824.900 €,60.708.348.800 €,-6.888.351.600 €,177.808.943.700 €,0 €,82.350.381.700 €
